cohort_month,month_number,active_customers,avg_aov,median_aov,min_aov,max_aov,aov_index,distribution_type
2020-01,0,315,126.58,74.96,10.62,1187.77,100,右偏（高客单价拉高均值）
2020-01,1,11,103.88,74.75,12.08,415.4,82.07,右偏（高客单价拉高均值）
2020-01,2,17,156.47,95.34,26.55,656.53,123.61,右偏（高客单价拉高均值）
2020-01,3,10,78.09,68.03,20.65,239.87,61.69,正态分布
2020-01,4,9,168.08,108.02,51.05,668.51,132.79,右偏（高客单价拉高均值）
2020-01,5,12,149.77,122.33,15.53,349.88,118.32,右偏（高客单价拉高均值）
2020-01,6,16,127.12,87.9,31.2,524.92,100.43,右偏（高客单价拉高均值）
2020-01,7,8,146.75,64.22,23.68,416.56,115.93,右偏（高客单价拉高均值）
2020-01,8,14,84.71,71.34,16.89,192.76,66.92,正态分布
2020-01,9,11,151.6,111.78,24.43,513.07,119.77,右偏（高客单价拉高均值）
2020-01,10,15,144.97,121.43,38.63,326.24,114.53,正态分布
2020-01,11,11,255.12,80.43,18.74,1823.94,201.55,右偏（高客单价拉高均值）
2020-01,12,7,134.72,73.97,26.8,450.3,106.43,右偏（高客单价拉高均值）
2020-01,13,13,78.53,59.29,20.29,233.63,62.04,右偏（高客单价拉高均值）
2020-01,14,16,111.02,54.21,14.51,557.9,87.71,右偏（高客单价拉高均值）
2020-01,15,18,136.21,128.88,15.87,302.45,107.61,正态分布
2020-01,16,14,117.07,70.13,19.15,752.22,92.49,右偏（高客单价拉高均值）
2020-01,17,16,69.37,52.26,15.6,154.3,54.8,右偏（高客单价拉高均值）
2020-01,18,12,116.59,102.19,24.74,316.43,92.11,正态分布
2020-01,19,6,132.72,113.09,64.06,269.45,104.85,正态分布
2020-01,20,12,97.82,78.11,30.38,173.8,77.28,右偏（高客单价拉高均值）
2020-01,21,13,125.94,88.51,19.47,446.3,99.49,右偏（高客单价拉高均值）
2020-01,22,8,73.47,55.51,13.16,195.82,58.04,右偏（高客单价拉高均值）
2020-01,23,21,156.68,65.27,19.57,950.42,123.78,右偏（高客单价拉高均值）
2020-01,24,23,121.16,100.7,26.83,370.46,95.72,右偏（高客单价拉高均值）
2020-01,25,15,96.66,75.37,53.58,349.68,76.36,右偏（高客单价拉高均值）
2020-01,26,12,69.34,58.77,16.81,144.81,54.78,正态分布
2020-01,27,18,113.35,82.34,21.49,563.01,89.55,右偏（高客单价拉高均值）
2020-01,28,8,155.15,82.57,11.41,349.96,122.57,右偏（高客单价拉高均值）
2020-01,29,16,122.33,97.98,24.01,236.36,96.64,右偏（高客单价拉高均值）
2020-01,30,14,107.25,99.75,9.7,213.57,84.73,正态分布
2020-01,31,14,113.52,113.85,18.45,214.93,89.68,正态分布
2020-01,32,10,180.98,76.19,14.17,702.69,142.98,右偏（高客单价拉高均值）
2020-01,33,13,140.07,128.03,29.23,377.52,110.66,正态分布
2020-01,34,6,139.13,82.48,20.98,470.36,109.91,右偏（高客单价拉高均值）
2020-01,35,9,147.5,75.96,20.52,452.31,116.53,右偏（高客单价拉高均值）
2020-01,36,14,163.45,95.91,26.16,450.7,129.13,右偏（高客单价拉高均值）
2020-01,37,13,168.35,101.85,26.64,457.13,133,右偏（高客单价拉高均值）
2020-01,38,19,127.2,88.58,32.16,375.61,100.49,右偏（高客单价拉高均值）
2020-01,39,15,97.42,62.29,11.48,321.97,76.96,右偏（高客单价拉高均值）
2020-01,40,10,83.36,58.29,31.56,212.11,65.86,右偏（高客单价拉高均值）
2020-01,41,12,244.8,58.37,12.86,1305.08,193.4,右偏（高客单价拉高均值）
2020-01,42,9,110.29,47.59,22.71,372.55,87.13,右偏（高客单价拉高均值）
2020-01,43,8,212.79,101.28,22.12,904.37,168.11,右偏（高客单价拉高均值）
2020-01,44,11,207.26,192.71,34.22,468.64,163.74,正态分布
2020-01,45,20,124.05,108.81,8.98,393.64,98,正态分布
2020-01,46,16,157.87,84.61,11.29,1139.48,124.72,右偏（高客单价拉高均值）
2020-01,47,9,94.33,92.17,29.19,183.4,74.52,正态分布
2020-01,48,16,85.71,57.39,14.12,309.47,67.71,右偏（高客单价拉高均值）
2020-01,49,10,127.04,69.87,17.79,548.97,100.36,右偏（高客单价拉高均值）
2020-01,50,17,86.05,53.91,14,460.98,67.98,右偏（高客单价拉高均值）
2020-01,51,13,81.69,86.11,14.63,151.98,64.54,正态分布
2020-01,52,13,84.02,48.36,33.09,320.54,66.38,右偏（高客单价拉高均值）
2020-01,53,17,86.99,65.35,12.69,243.95,68.72,右偏（高客单价拉高均值）
2020-01,54,18,112.5,65.48,21.69,803.09,88.88,右偏（高客单价拉高均值）
2020-01,55,8,138.55,110.58,50.19,393.07,109.46,右偏（高客单价拉高均值）
2020-01,56,13,78.52,70.36,23.54,200.97,62.03,正态分布
2020-01,57,13,150.96,83.32,15.3,389.47,119.26,右偏（高客单价拉高均值）
2020-01,58,7,119.27,75.69,17.12,286.35,94.22,右偏（高客单价拉高均值）
2020-01,59,15,108.75,73.68,32.02,448.48,85.91,右偏（高客单价拉高均值）
2020-01,60,9,222.06,61.44,27.27,1073.27,175.43,右偏（高客单价拉高均值）
2020-01,61,9,106.78,73.01,19.6,430.68,84.36,右偏（高客单价拉高均值）
2020-01,62,14,72.39,66,20.09,207.42,57.19,正态分布
2020-01,63,11,99.24,80.28,8.05,181.84,78.4,右偏（高客单价拉高均值）
2020-01,64,19,107.57,64.18,13.73,517.23,84.98,右偏（高客单价拉高均值）
2020-01,65,17,113.55,87.88,22.65,446.09,89.71,右偏（高客单价拉高均值）
2020-01,66,19,150.76,98.7,15.61,1008.15,119.1,右偏（高客单价拉高均值）
2020-01,67,14,107.75,71.67,13.66,400.19,85.12,右偏（高客单价拉高均值）
2020-01,68,13,63.97,57.3,31.62,153.71,50.54,正态分布
2020-01,69,4,152.04,48.48,20.2,491.02,120.11,右偏（高客单价拉高均值）
2020-01,70,15,87.31,72.76,24.79,207.2,68.98,正态分布
2020-01,71,11,140.21,61.16,26.54,595.29,110.77,右偏（高客单价拉高均值）
2020-01,72,13,147.52,53.46,14.35,888.96,116.54,右偏（高客单价拉高均值）
2020-01,73,15,190.51,148.35,29.34,676.27,150.51,右偏（高客单价拉高均值）
2020-01,74,11,113.45,113.93,27.28,271.6,89.63,正态分布
2020-02,0,301,126.91,71.31,9.31,1890.97,100,右偏（高客单价拉高均值）
2020-02,1,18,85.6,59.44,15.08,334.79,67.45,右偏（高客单价拉高均值）
2020-02,2,7,198.29,135.83,35.78,668.29,156.24,右偏（高客单价拉高均值）
2020-02,3,12,91.5,57.58,11.38,331.14,72.1,右偏（高客单价拉高均值）
2020-02,4,10,128.44,55.59,17.52,380.21,101.21,右偏（高客单价拉高均值）
2020-02,5,12,66.93,64.68,19.5,114.75,52.74,正态分布
2020-02,6,16,84.44,48.95,16.53,455.65,66.54,右偏（高客单价拉高均值）
2020-02,7,15,129.59,72.68,22.7,384.69,102.11,右偏（高客单价拉高均值）
2020-02,8,12,142.6,44.28,15.26,607.43,112.36,右偏（高客单价拉高均值）
2020-02,9,16,90.36,67.39,13.52,402.56,71.2,右偏（高客单价拉高均值）
2020-02,10,17,177.82,81.02,7.93,956.11,140.12,右偏（高客单价拉高均值）
2020-02,11,10,110.44,53.48,29.3,526.46,87.02,右偏（高客单价拉高均值）
2020-02,12,10,63.85,50.73,33.2,184.12,50.31,右偏（高客单价拉高均值）
2020-02,13,10,144.65,147.43,21.6,311.93,113.98,正态分布
2020-02,14,9,146.3,66.71,13,377.49,115.28,右偏（高客单价拉高均值）
2020-02,15,11,87.07,78.87,35.6,187.08,68.61,正态分布
2020-02,16,11,138.16,99.79,20.34,509.17,108.86,右偏（高客单价拉高均值）
2020-02,17,10,88.82,84.95,65.94,122.4,69.99,正态分布
2020-02,18,13,108.22,104.9,24.95,185.26,85.27,正态分布
2020-02,19,16,165.78,76,22.03,738.19,130.63,右偏（高客单价拉高均值）
2020-02,20,9,95.13,87.86,36.54,207.56,74.96,正态分布
2020-02,21,8,112.79,111.39,43.58,227.63,88.87,正态分布
2020-02,22,10,98.83,84.03,14.97,229.73,77.87,正态分布
2020-02,23,16,156.89,75.43,22.37,753.9,123.62,右偏（高客单价拉高均值）
2020-02,24,13,88.98,63.53,29.16,169.84,70.11,右偏（高客单价拉高均值）
2020-02,25,17,136.36,121.48,19.62,466.37,107.45,正态分布
2020-02,26,7,120.85,79.97,24.23,286.75,95.22,右偏（高客单价拉高均值）
2020-02,27,7,248.5,61.05,21.48,1087.58,195.81,右偏（高客单价拉高均值）
2020-02,28,6,235.14,146.13,101.5,473.65,185.28,右偏（高客单价拉高均值）
2020-02,29,13,94.07,64.96,25.17,346.11,74.12,右偏（高客单价拉高均值）
2020-02,30,17,161.66,61.29,41.12,553.26,127.38,右偏（高客单价拉高均值）
2020-02,31,9,107.85,86.55,18.91,236.96,84.98,右偏（高客单价拉高均值）
2020-02,32,23,115.16,70.04,14,629.49,90.74,右偏（高客单价拉高均值）
2020-02,33,16,138.22,104.01,36.62,434.9,108.91,右偏（高客单价拉高均值）
2020-02,34,8,139.44,101.21,9.32,341.78,109.87,右偏（高客单价拉高均值）
2020-02,35,17,171.04,115.1,18.94,793.54,134.77,右偏（高客单价拉高均值）
2020-02,36,11,119.95,54.84,15.8,704.1,94.52,右偏（高客单价拉高均值）
2020-02,37,10,125.35,87,13.22,320.8,98.77,右偏（高客单价拉高均值）
2020-02,38,17,136.95,93.07,25.96,637.9,107.91,右偏（高客单价拉高均值）
2020-02,39,19,167.78,90,14.82,667.51,132.2,右偏（高客单价拉高均值）
2020-02,40,8,289.46,242.06,60.98,721.67,228.08,正态分布
2020-02,41,12,118.47,56.33,19.38,265.8,93.35,右偏（高客单价拉高均值）
2020-02,42,11,103.14,74.84,57.44,221.5,81.27,右偏（高客单价拉高均值）
2020-02,43,13,195.48,80.37,24.86,1191.52,154.03,右偏（高客单价拉高均值）
2020-02,44,12,146.18,60.61,12.29,847.35,115.18,右偏（高客单价拉高均值）
