customer_id,country,age,gender,membership_tier,registration_to_now_date,registration_date,total_orders,total_spend_usd,avg_order_value_usd,days_since_last_purchase,preferred_category,preferred_device,preferred_payment_method,acquisition_channel,reviews_given,avg_review_score,return_rate,returns_made,wishlist_items,newsletter_subscribed,churned,age_group,registration_year,monthly_orders,monthly_spend
C04988,India,27,Male,Gold,369,2025/4/24,55,29317.45,515.64,139,Clothing & Apparel,Desktop,UPI / Digital Wallet,Email Campaign,4,4.5,0.055,3,9,1,0,25-35,12,4.47,2383.53
C05131,United States,37,Other,Free,819,2024/1/30,79,27252.84,321.1,80,Pet Supplies,Mobile,Credit Card,Organic Search,27,3.8,0.139,11,7,0,0,36-45,27,2.89,998.27
C00263,Germany,25,Female,Silver,1031,2023/7/2,71,25995.03,413.57,181,Travel & Luggage,Desktop,Debit Card,Organic Search,15,3.7,0.056,4,6,1,0,25-35,34,2.07,756.4
C05239,United Kingdom,42,Male,Gold,561,2024/10/14,36,25953.79,762.93,85,Electronics,Tablet,Bank Transfer,Direct,7,3.3,0.083,3,0,0,0,36-45,19,1.93,1387.9
C01139,United States,42,Male,Gold,539,2024/11/5,54,24396.89,433.57,31,Sports & Outdoors,Mobile,Bank Transfer,Direct,10,4.2,0.019,1,2,1,0,36-45,18,3.01,1357.9
C05337,India,44,Male,Gold,157,2025/11/22,38,24118.18,687.81,49,Books,Desktop,PayPal,Direct,8,4.9,0.026,1,1,1,0,36-45,5,7.26,4608.57
C01972,Mexico,42,Female,Platinum,218,2025/9/22,41,23959.99,518.42,96,Jewelry & Accessories,Mobile,Credit Card,Paid Ad,9,4.1,0.098,4,12,1,0,36-45,7,5.64,3297.25
C04901,United States,22,Female,Silver,773,2024/3/16,35,22774.9,597.14,51,Home & Kitchen,Desktop,PayPal,Organic Search,8,4.3,0.086,3,4,1,1,<25,26,1.36,883.89
C02233,Australia,26,Male,Gold,2921,2018/4/29,67,19756.94,300.14,30,Home & Kitchen,Desktop,UPI / Digital Wallet,Social Media,14,3.9,0.045,3,6,1,0,25-35,97,0.69,202.91
C05226,India,51,Male,Platinum,554,2024/10/21,35,19457.68,512.82,67,Pet Supplies,Desktop,Debit Card,Email Campaign,4,4.5,0,0,8,1,0,>45,18,1.9,1053.66
C00715,France,48,Female,Platinum,396,2025/3/28,75,19449.63,279.02,4,Food & Grocery,Mobile,Credit Card,Email Campaign,7,4.2,0.093,7,8,0,0,>45,13,5.68,1473.46
C07712,Germany,53,Male,Silver,927,2023/10/14,35,18444.82,502.76,37,Health & Wellness,Mobile,Debit Card,Referral,2,3.4,0.057,2,1,0,0,>45,31,1.13,596.92
C06009,United States,39,Male,Free,124,2025/12/25,42,18365.99,394.75,11,Automotive,Mobile,Debit Card,Direct,13,4.8,0.048,2,0,1,0,36-45,4,10.16,4443.38
C00646,Australia,24,Female,Platinum,297,2025/7/5,43,18326.52,380.44,185,Beauty & Personal Care,Mobile,Credit Card,Social Media,9,4.6,0,0,2,1,0,<25,10,4.34,1851.16
C07463,United States,27,Female,Platinum,969,2023/9/2,32,17911.11,583.01,21,Home & Kitchen,Tablet,Credit Card,Social Media,8,4,0.031,1,1,1,0,25-35,32,0.99,554.52
C00266,United States,34,Female,Silver,331,2025/6/1,74,16178.31,240.83,24,Electronics,Desktop,Credit Card,Social Media,21,3.9,0.108,8,3,1,0,25-35,11,6.71,1466.31
C03886,Netherlands,46,Male,Platinum,268,2025/8/3,30,16092.07,573.88,10,Pet Supplies,Desktop,PayPal,Organic Search,4,4.2,0.033,1,12,1,0,>45,9,3.36,1801.35
C02349,Canada,39,Male,Platinum,271,2025/7/31,72,16026.27,221.46,142,Travel & Luggage,Desktop,Credit Card,Direct,13,4.8,0.083,6,2,1,0,36-45,9,7.97,1774.13
C06710,India,32,Male,Free,263,2025/8/8,67,15886.4,213.25,47,Food & Grocery,Mobile,Credit Card,Direct,12,4.1,0.119,8,2,1,0,25-35,9,7.64,1812.14
C01934,India,57,Male,Gold,560,2024/10/15,30,15868.42,501.12,26,Electronics,Mobile,UPI / Digital Wallet,Organic Search,11,3.8,0,0,0,1,0,>45,19,1.61,850.09
C06203,Spain,35,Male,Free,450,2025/2/2,48,15800.44,347,82,Home & Kitchen,Desktop,Debit Card,Direct,4,3.3,0.021,1,7,0,1,25-35,15,3.2,1053.36
C05756,United States,33,Male,Free,94,2026/1/24,53,15745.34,300.66,45,Clothing & Apparel,Mobile,Credit Card,Paid Ad,8,4.4,0.094,5,4,0,0,25-35,3,16.91,5025.11
C05943,France,26,Male,Silver,575,2024/9/30,42,15630.04,351.06,5,Clothing & Apparel,Desktop,Credit Card,Email Campaign,12,4.5,0.071,3,1,1,0,25-35,19,2.19,815.48
C06775,France,51,Female,Gold,161,2025/11/18,51,15596.89,267.52,24,Sports & Outdoors,Mobile,Debit Card,Organic Search,3,4.5,0.059,3,1,0,0,>45,5,9.5,2906.25
C06307,United States,64,Male,Platinum,58,2026/3/1,26,15536.43,605.82,28,Electronics,Tablet,Credit Card,Organic Search,2,3.9,0.115,3,6,1,0,>45,2,13.45,8036.08
