cohort_month,month_number,active_customers,total_revenue,avg_revenue_per_active_customer,avg_orders_per_active_customer,cumulative_ltv,cohort_size,cumulative_ltv_per_user
2020-01,0,315,41113.87,130.52,1.03,41113.87,315,130.52
2020-01,1,11,1229.29,111.75,1.09,42343.16,315,134.42
2020-01,2,17,2904.33,170.84,1.06,45247.49,315,143.64
2020-01,3,10,780.87,78.09,1,46028.36,315,146.12
2020-01,4,9,1512.69,168.08,1,47541.05,315,150.92
2020-01,5,12,1797.23,149.77,1,49338.28,315,156.63
2020-01,6,16,2033.9,127.12,1,51372.18,315,163.09
2020-01,7,8,1173.97,146.75,1,52546.15,315,166.81
2020-01,8,14,1185.88,84.71,1,53732.03,315,170.58
2020-01,9,11,1667.62,151.6,1,55399.65,315,175.87
2020-01,10,15,2174.55,144.97,1,57574.2,315,182.78
2020-01,11,11,2806.33,255.12,1,60380.53,315,191.68
2020-01,12,7,943.05,134.72,1,61323.58,315,194.68
2020-01,13,13,1020.85,78.53,1,62344.43,315,197.92
2020-01,14,16,1776.39,111.02,1,64120.82,315,203.56
2020-01,15,18,2451.75,136.21,1,66572.57,315,211.34
2020-01,16,14,1639.02,117.07,1,68211.59,315,216.54
2020-01,17,16,1264.14,79.01,1.06,69475.73,315,220.56
2020-01,18,12,1399.04,116.59,1,70874.77,315,225
2020-01,19,6,867.7,144.62,1.17,71742.47,315,227.75
2020-01,20,12,1173.86,97.82,1,72916.33,315,231.48
2020-01,21,13,1900.85,146.22,1.08,74817.18,315,237.51
2020-01,22,8,587.72,73.47,1,75404.9,315,239.38
2020-01,23,21,3290.32,156.68,1,78695.22,315,249.83
2020-01,24,23,2887.49,125.54,1.04,81582.71,315,258.99
2020-01,25,15,1449.96,96.66,1,83032.67,315,263.6
2020-01,26,12,892.13,74.34,1.08,83924.8,315,266.43
2020-01,27,18,2214.96,123.05,1.11,86139.76,315,273.46
2020-01,28,8,1241.17,155.15,1,87380.93,315,277.4
2020-01,29,16,1957.34,122.33,1,89338.27,315,283.61
2020-01,30,14,1611.99,115.14,1.07,90950.26,315,288.73
2020-01,31,14,1626.12,116.15,1.07,92576.38,315,293.89
2020-01,32,10,1809.84,180.98,1,94386.22,315,299.64
2020-01,33,13,1820.91,140.07,1,96207.13,315,305.42
2020-01,34,6,834.79,139.13,1,97041.92,315,308.07
2020-01,35,9,1569.3,174.37,1.11,98611.22,315,313.05
2020-01,36,14,2288.29,163.45,1,100899.51,315,320.32
2020-01,37,13,2188.54,168.35,1,103088.05,315,327.26
2020-01,38,19,2416.82,127.2,1,105504.87,315,334.94
2020-01,39,15,1461.33,97.42,1,106966.2,315,339.58
2020-01,40,10,833.63,83.36,1,107799.83,315,342.22
2020-01,41,12,2937.56,244.8,1,110737.39,315,351.55
2020-01,42,9,992.57,110.29,1,111729.96,315,354.7
2020-01,43,8,1702.32,212.79,1,113432.28,315,360.1
2020-01,44,11,2279.9,207.26,1,115712.18,315,367.34
2020-01,45,20,2480.94,124.05,1,118193.12,315,375.22
2020-01,46,16,2525.94,157.87,1,120719.06,315,383.24
2020-01,47,9,848.94,94.33,1,121568,315,385.93
2020-01,48,16,1371.33,85.71,1,122939.33,315,390.28
2020-01,49,10,1270.36,127.04,1,124209.69,315,394.32
2020-01,50,17,1462.82,86.05,1,125672.51,315,398.96
2020-01,51,13,1061.96,81.69,1,126734.47,315,402.33
2020-01,52,13,1412.82,108.68,1.08,128147.29,315,406.82
2020-01,53,17,1518.75,89.34,1.06,129666.04,315,411.64
2020-01,54,18,2024.94,112.5,1,131690.98,315,418.07
2020-01,55,8,1186.76,148.34,1.13,132877.74,315,421.83
2020-01,56,13,1020.72,78.52,1,133898.46,315,425.07
2020-01,57,13,2367.25,182.1,1.15,136265.71,315,432.59
2020-01,58,7,834.91,119.27,1,137100.62,315,435.24
2020-01,59,15,1713.27,114.22,1.07,138813.89,315,440.68
2020-01,60,9,1998.58,222.06,1,140812.47,315,447.02
2020-01,61,9,961.06,106.78,1,141773.53,315,450.07
2020-01,62,14,1013.52,72.39,1,142787.05,315,453.29
2020-01,63,11,1269.06,115.37,1.09,144056.11,315,457.32
2020-01,64,19,2043.75,107.57,1,146099.86,315,463.81
2020-01,65,17,2093.2,123.13,1.12,148193.06,315,470.45
2020-01,66,19,2864.45,150.76,1,151057.51,315,479.55
2020-01,67,14,1508.49,107.75,1,152566,315,484.34
2020-01,68,13,831.61,63.97,1,153397.61,315,486.98
